Site,Treatment,Photo,Sky
T4                            ,Thinned,3,78.17
T4                            ,Thinned,4,96.86
T4                            ,Thinned,5,94.64
T4                            ,Thinned,6,87.36
T4                            ,Thinned,7,95.07
T4                            ,Thinned,8,97.78
T4                            ,Thinned,9,100
T4                            ,Thinned,10,95.23
T5                            ,Thinned,1,90.56
T5                            ,Thinned,2,32.29
T5                            ,Thinned,3,93.79
T5                            ,Thinned,4,79.27
T5                            ,Thinned,5,65.48
T5                            ,Thinned,6,89.39
T5                            ,Thinned,7,89.79
T5                            ,Thinned,8,98.03
T5                            ,Thinned,9,99.97
T5                            ,Thinned,10,50.81
T6                            ,Thinned,1,64.95
T6                            ,Thinned,2,78.82
T6                            ,Thinned,3,79.38
T6                            ,Thinned,4,67.4
T6                            ,Thinned,5,89.69
T6                            ,Thinned,6,81.31
T6                            ,Thinned,7,61.81
T6                            ,Thinned,8,90.78
T6                            ,Thinned,9,79.09
T6                            ,Thinned,10,87.62
T7                            ,Thinned,1,23.88
T7                            ,Thinned,2,86.35
T7                            ,Thinned,3,63.29
T7                            ,Thinned,4,96.37
T7                            ,Thinned,5,100
T7                            ,Thinned,6,96.19
T7                            ,Thinned,7,72.08
T7                            ,Thinned,8,91.76
T7                            ,Thinned,9,99.84
T7                            ,Thinned,10,95.5
T8                            ,Thinned,1,20.96
T8                            ,Thinned,2,85.68
T8                            ,Thinned,3,79.53
T8                            ,Thinned,4,83.56
T8                            ,Thinned,5,85.03
T8                            ,Thinned,6,100
T8                            ,Thinned,7,99.12
T8                            ,Thinned,8,99.42
T8                            ,Thinned,9,72.17
T8                            ,Thinned,10,99.81
T9                            ,Thinned,1,36.04
T9                            ,Thinned,2,98.95
T9                            ,Thinned,3,100
T9                            ,Thinned,4,100
T9                            ,Thinned,5,52.57
T9                            ,Thinned,6,97.78
T9                            ,Thinned,7,100
T9                            ,Thinned,8,100
T9                            ,Thinned,9,100
T9                            ,Thinned,10,100
T10                           ,Thinned,1,61.22
T10                           ,Thinned,2,46.53
